HCT1, HCT2, HCT3, TauT1, TauT2, TauT3 
0.043542, 0.021938, 0.014663, 41.120000, 41.120000, 41.120000 
0.686101, 0.348336, 0.233411, 657.920000, 657.920000, 657.920000 
3.420684, 1.750021, 1.175634, 3330.720000, 3330.720000, 3330.720000 
10.647007, 5.488809, 3.696696, 10526.720000, 10526.720000, 10526.720000 
25.599254, 13.298359, 8.979257, 25700.000000, 25700.000000, 25700.000000 
52.277160, 27.365469, 18.524732, 53291.520000, 53291.520000, 53291.520000 
95.380336, 50.311805, 34.144885, 98729.120000, 98729.120000, 98729.120000 
160.245683, 85.176059, 57.953546, 168427.520000, 168427.520000, 168427.520000 
252.787810, 135.396513, 92.358457, 269788.320000, 269788.320000, 269788.320000 
379.442340, 204.794030, 140.053253, 411200.000000, 411200.000000, 411200.000000 
547.111988, 297.555432, 204.009554, 602037.920000, 602037.920000, 602037.920000 
763.115324, 418.217284, 287.469198, 852664.320000, 852664.320000, 852664.320000 
1035.138115, 571.650059, 393.936579, 1174428.320000, 1174428.320000, 1174428.320000 
1371.187147, 763.042690, 527.171119, 1579665.920000, 1579665.920000, 1579665.920000 
1779.546446, 997.887493, 691.179852, 2081700.000000, 2081700.000000, 2081700.000000 
2268.735791, 1281.965460, 890.210128, 2694840.320000, 2694840.320000, 2694840.320000 
2847.471445, 1621.331906, 1128.742435, 3434383.520000, 3434383.520000, 3434383.520000 
3524.629021, 2022.302479, 1411.483333, 4316613.120000, 4316613.120000, 4316613.120000 
4309.208387, 2491.439513, 1743.358504, 5358799.520000, 5358799.520000, 5358799.520000 
5210.300548, 3035.538719, 2129.505912, 6579200.000000, 6579200.000000, 6579200.000000 
6237.056414, 3661.616220, 2575.269078, 7997058.720000, 7997058.720000, 7997058.720000 
7398.657390, 4376.895903, 3086.190459, 9632606.720000, 9632606.720000, 9632606.720000 
8704.287716, 5188.797101, 3668.004939, 11507061.920000, 11507061.920000, 11507061.920000 
10163.108476, 6104.922592, 4326.633428, 13642629.120000, 13642629.120000, 13642629.120000 
11784.233227, 7133.046902, 5068.176560, 16062500.000000, 16062500.000000, 16062500.000000 
13576.705161, 8281.104918, 5898.908503, 18790853.120000, 18790853.120000, 18790853.120000 
15549.475765, 9557.180799, 6825.270867, 21852853.920000, 21852853.920000, 21852853.920000 
17711.384887, 10969.497179, 7853.866719, 25274654.720000, 25274654.720000, 25274654.720000 
20071.142179, 12526.404657, 8991.454687, 29083394.720000, 29083394.720000, 29083394.720000 
22637.309832, 14236.371571, 10244.943178, 33307200.000000, 33307200.000000, 33307200.000000 
25418.286573, 16107.974048, 11621.384685, 37975183.520000, 37975183.520000, 37975183.520000 
28422.292857, 18149.886325, 13127.970192, 43117445.120000, 43117445.120000, 43117445.120000 
31657.357201, 20370.871335, 14772.023673, 48765071.520000, 48765071.520000, 48765071.520000 
35131.303623, 22779.771558, 16560.996690, 54950136.320000, 54950136.320000, 54950136.320000 
38851.740120, 25385.500124, 18502.463084, 61705700.000000, 61705700.000000, 61705700.000000 
42826.048160, 28197.032166, 20604.113749, 69065809.920000, 69065809.920000, 69065809.920000 
47061.373123, 31223.396428, 22873.751508, 77065500.320000, 77065500.320000, 77065500.320000 
51564.615662, 34473.667098, 25319.286074, 85740792.320000, 85740792.320000, 85740792.320000 
56342.423932, 37956.955898, 27948.729098, 95128693.920000, 95128693.920000, 95128693.920000 
61401.186660, 41682.404385, 30770.189306, 105267200.000000, 105267200.000000, 105267200.000000 
66747.027000, 45659.176497, 33791.867722, 116195292.320000, 116195292.320000, 116195292.320000 
72385.797151, 49896.451309, 37022.052980, 127952939.520000, 127952939.520000, 127952939.520000 
78323.073694, 54403.416014, 40469.116710, 140581097.120000, 140581097.120000, 140581097.120000 
84564.153608, 59189.259119, 44141.509021, 154121707.520000, 154121707.520000, 154121707.520000 
91114.050951, 64263.163843, 48047.754053, 168617700.000000, 168617700.000000, 168617700.000000 
